ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
642-31-4500|30143455812232|Janet|Hernandez|F|66587 Brown Village|Itasca|TX|76055|32.1636|-97.146|3084|Petroleum engineer|1985-08-01|993810235531|adults_2550_female_urban.json
713-03-9433|6505466889373460|John|Price|M|272 Rebecca Ramp Apt. 162|Fairbanks|AK|99712|64.9109|-147.5105|63999|Psychologist, clinical|2004-01-22|52320127777|young_adults_male_urban.json
336-28-7450|376464170805315|Richard|Pearson|M|30923 Thomas Crescent|Grove|OK|74344|36.5929|-94.7565|14412|Surveyor, rural practice|1951-10-12|240293786713|adults_50up_male_urban.json
263-99-6044|4241904966319315|Michael|Turner|M|058 Stanley Cliff|Akron|OH|44333|41.1552|-81.6314|272134|Risk manager|2010-02-13|376443331852|young_adults_male_urban.json
431-63-1730|6572628498776940|Erica|Sanchez|F|7379 Rogers Park|Richardson|TX|75081|32.9462|-96.7058|99347|Journalist, broadcasting|1969-04-30|533356940935|adults_50up_female_urban.json
817-34-5577|4808313678377701435|Jennifer|Sanchez|F|8856 Bell Motorway Suite 443|Port Orchard|WA|98366|47.5427|-122.5871|61951|Community arts worker|1952-07-11|213551290143|adults_50up_female_urban.json
761-69-3034|4749894134350|Cassie|Smith|F|0084 Dana Terrace|Tewksbury|MA|01876|42.6028|-71.2232|28667|Recycling officer|1962-03-22|958218317578|adults_50up_female_urban.json
292-61-7844|30520471167198|Lori|Brown|F|413 Angela Mall|Florence|KY|41042|38.9941|-84.642|49968|Trading standards officer|1961-04-26|870143739098|adults_50up_female_urban.json
795-67-6233|38496499091334|Deborah|Miller|F|81206 Norris Mountains|Longmont|CO|80504|40.1306|-104.9504|117461|Horticulturist, amenity|1946-02-11|253543257595|adults_50up_female_urban.json
290-90-7439|2244936183242103|Carol|Parker|F|1746 Mason Park Suite 190|Riverside|CA|92507|33.9761|-117.3389|419138|Podiatrist|1975-07-05|355342117469|adults_50up_female_urban.json
027-12-3751|4490278742967178|Gregory|Cook|M|56746 Shawn Island|Jacksonville|AR|72076|34.919|-92.1419|37979|Forensic psychologist|1968-09-24|125942501921|adults_50up_male_urban.json
414-66-0019|4603859770348243|Jeffrey|Wolfe|M|93248 Andrea Course|Irvine|CA|92602|33.7419|-117.7467|212569|Equality and diversity officer|1978-04-12|927679680601|adults_2550_male_urban.json
473-16-2523|30484677378267|Connor|Greene|M|46584 Justin Hills|Mundelein|IL|60060|42.2636|-88.0048|37189|Theatre manager|1969-10-16|539705335953|adults_50up_male_urban.json
458-69-7936|378867533963605|Evan|Kennedy|M|2702 Kane Well Suite 187|Providence|RI|02908|41.8383|-71.4377|203571|Administrator, local government|2004-07-19|157721695267|young_adults_male_urban.json
671-20-1226|30459615865781|Andrew|Jones|M|16117 Heather Burgs Apt. 504|Hinton|IA|51024|42.604|-96.305|2070|Mechanical engineer|1981-09-07|474056332778|adults_2550_male_rural.json
544-53-9273|4221969379237473|Dawn|Smith|F|8217 Huerta Hills Suite 474|Lansdale|PA|19446|40.2378|-75.2955|55138|Engineer, civil (contracting)|1958-10-17|425199071794|adults_50up_female_urban.json
110-31-6249|3594406409097438|Lawrence|Gomez|M|421 Kyle Mill|Tucson|AZ|85750|32.2974|-110.8404|865276|Analytical chemist|1993-03-27|401921209060|adults_2550_male_urban.json
093-38-5353|3523285884247452|Robert|Mcdonald|M|36851 Smith Plain|Fort Thomas|KY|41075|39.0786|-84.4523|16459|Community pharmacist|1972-01-31|405680216951|adults_50up_male_urban.json
689-34-9578|6513709859317466|Bruce|Williams|M|7113 Paul Land|Nashville|IN|47448|39.2367|-86.222|7505|Sound technician, broadcasting/film/video|1971-07-13|646045230097|adults_50up_male_urban.json
159-54-1623|36405377351589|Stephanie|Newman|F|4317 Elizabeth Row|Varnville|SC|29944|32.8349|-81.0288|5118|Therapist, speech and language|1989-05-05|25645650502|adults_2550_female_urban.json
342-32-2064|3518393352904229|Kimberly|Lindsey|F|020 Tyler Freeway|Ramona|CA|92065|33.0293|-116.8535|35414|Theatre stage manager|1983-04-26|18570457049|adults_2550_female_urban.json
054-17-6898|213117758917830|Theresa|Williams|F|0076 Parks Overpass Suite 115|Milwaukee|WI|53219|42.9959|-87.9944|817312|Translator|1986-07-16|69356565695|adults_2550_female_urban.json
640-82-9591|180069847896112|Samuel|Curtis|M|7365 Ross Stream|Greenville|TX|75402|33.1047|-96.0927|34472|Chief of Staff|1987-04-16|469493820213|adults_2550_male_urban.json
262-48-2501|4111161528098856|Meagan|Jenkins|F|049 Bell Ports Apt. 273|Bronx|NY|10467|40.8737|-73.8712|1382480|Clinical cytogeneticist|1973-02-22|929216664078|adults_50up_female_urban.json
118-98-4565|3568998094024455|Heather|White|F|612 Christopher Pines|Aston|PA|19014|39.8643|-75.4332|21206|Engineer, structural|1996-06-30|461177243339|adults_2550_female_urban.json
162-48-5106|3599102290147672|Lisa|Perry|F|156 Justin Springs|Grand Coteau|LA|70541|30.4201|-92.0462|432|Therapist, horticultural|1998-10-27|577615689420|adults_2550_female_rural.json
047-29-6476|3503432445107627|Carl|Patel|M|851 Hensley Canyon|Hacienda Heights|CA|91745|33.9977|-117.9652|54013|Press photographer|1932-05-20|502591667934|adults_50up_male_urban.json
883-41-9434|6564160529751619|Dana|Chapman|F|4535 Charles Roads|Blairsville|GA|30512|34.8763|-83.992|19490|Clothing/textile technologist|1975-01-02|560624678846|adults_50up_female_urban.json
795-45-5753|3531243292127790|Peter|Cole|M|527 Taylor Roads Suite 490|Columbus|OH|43201|39.9952|-83.0047|783285|Management consultant|1951-01-19|79488406665|adults_50up_male_urban.json
463-05-0933|371199867980790|Matthew|Morris|M|207 Lisa Villages Suite 182|Paradise Valley|AZ|85253|33.5494|-111.9565|17047|Archaeologist|1988-02-02|778453131767|adults_2550_male_urban.json
450-68-8565|3555466590515181|Meghan|Mitchell|F|1925 Ponce Square|North Reading|MA|01864|42.5819|-71.0947|14892|Nurse, children's|1936-05-29|653388872137|adults_50up_female_urban.json
087-40-9158|6528168505423579|Cheryl|Cooke|F|41888 Ebony Wells|Baltimore|MD|21202|39.2998|-76.6075|635495|Waste management officer|1941-06-21|653397880348|adults_50up_female_urban.json
167-24-2713|3506537947383471|Stephanie|Lee|F|4688 Burch Viaduct Apt. 924|Round Lake|IL|60073|42.3668|-88.0888|60002|Associate Professor|2004-10-25|531034820387|young_adults_female_urban.json
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Lithopolis|OH|43136|39.8013|-82.8125|460|Historic buildings inspector/conservation officer|1940-10-11|914473253283|adults_50up_female_rural.json
852-18-7686|30010432898610|Paula|Young|F|36971 Mary Parks|Henderson|NC|27536|36.3301|-78.3981|41608|Therapist, speech and language|1976-04-23|19482202674|adults_2550_female_urban.json
589-31-2353|4095396218518888801|Jeanette|Harrison|F|4051 Allen Shoals Apt. 952|Windham|ME|04062|43.7958|-70.4143|17020|Armed forces operational officer|1983-06-19|598513567016|adults_2550_female_urban.json
659-23-7613|3522170430305486|James|Ochoa|M|0345 Michelle Isle Suite 156|Painesville|OH|44077|41.7079|-81.199|56491|Office manager|1968-10-27|484228819436|adults_50up_male_urban.json
396-44-3061|38584161692842|Erica|Miller|F|7962 Bell Canyon Suite 964|San Antonio|TX|78240|29.5189|-98.6006|1595797|Barista|1990-04-24|734761706971|adults_2550_female_urban.json
373-66-2622|503897021351|Heidi|Herring|F|275 Wallace Club|South Dartmouth|MA|02748|41.5665|-70.9843|11442|Teacher, secondary school|1995-08-11|580411980930|adults_2550_female_urban.json
322-84-4567|4027868144733|Whitney|Mitchell|F|12172 Osborn Valleys Suite 518|Garrettsville|OH|44231|41.2988|-81.0704|8308|Special effects artist|1971-07-24|980499639968|adults_50up_female_urban.json
162-92-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Portland|OR|97215|45.5143|-122.599|841711|Comptroller|1974-10-25|352068690122|adults_50up_male_urban.json
461-60-8477|348922680182421|Christopher|Donovan|M|8414 Cynthia Plaza|Ontario|OR|97914|44.0416|-116.9783|19205|Haematologist|1959-09-26|687732369667|adults_50up_male_urban.json
547-12-8235|4992299590010948|Marilyn|Wang|F|078 May Hollow Suite 364|Ann Arbor|MI|48103|42.2794|-83.784|158345|Professor Emeritus|1991-11-22|756227660834|adults_2550_female_urban.json
451-54-7934|30359255562583|Justin|Flores|M|47321 Kelly Lights Suite 325|Alta Loma|CA|91701|34.1376|-117.5999|63716|Technical brewer|2010-07-24|346694606719|young_adults_male_urban.json
164-64-8434|38470168733955|Amber|Campbell|F|8016 Nicole Stream Suite 650|Clinton|MT|59825|46.7673|-113.7038|2412|Oncologist|1964-12-11|622989978517|adults_50up_female_rural.json
372-71-4729|2298784991216553|Kristin|Diaz|F|98680 Benjamin Station|Jefferson|NH|03583|44.3999|-71.4518|1107|Lecturer, further education|1997-08-22|523144049876|adults_2550_female_rural.json
153-78-8447|4952694958887945|John|Smith|M|169 Robles Stream Apt. 974|Carrollton|TX|75006|32.9657|-96.8825|119595|Technical sales engineer|2003-07-13|251589024007|young_adults_male_urban.json
598-62-2794|180023091307565|Christian|Vaughn|M|970 April Points Suite 786|Mandeville|LA|70471|30.4207|-90.0589|46234|Interior and spatial designer|1935-10-19|193087493940|adults_50up_male_urban.json
546-44-8951|379733484344378|Emily|Bailey|F|1986 Cardenas Trail Apt. 404|San Francisco|CA|94109|37.7917|-122.4186|805301|Careers information officer|1939-12-23|719159529356|adults_50up_female_urban.json
491-28-3311|180084219933088|Darius|Hall|M|5712 Tamara Estate|Savage|MN|55378|44.7615|-93.3434|26958|Optometrist|1978-09-06|965855026307|adults_2550_male_urban.json
667-26-4707|370193802620679|Cody|Curry|M|04991 Mitchell Row Suite 287|Gulfport|MS|39503|30.4601|-89.0886|83530|Government social research officer|2001-05-24|889886348922|young_adults_male_urban.json
167-94-7519|4205493296685169|Maureen|Lopez|F|5304 Young Terrace|Santa Barbara|CA|93109|34.4038|-119.7194|132916|Geologist, engineering|1968-12-08|364874801234|adults_50up_female_urban.json
741-74-0188|4301742684145933273|Brittany|Adkins|F|8783 Erin Ranch Apt. 878|Cleveland|TN|37323|35.1361|-84.8457|88774|Medical illustrator|1948-11-13|122682170508|adults_50up_female_urban.json
561-65-3313|3525871397187075|Bonnie|Perry|F|740 Scott Alley|New Port Richey|FL|34654|28.3022|-82.6264|115083|Engineering geologist|1964-08-10|79793239299|adults_50up_female_urban.json
353-90-1045|213117046226564|Joan|Stark|F|1825 Gregory Plain Suite 823|Visalia|CA|93291|36.3551|-119.301|142488|Accountant, chartered certified|1982-03-07|24722602367|adults_2550_female_urban.json
475-87-8921|6533752431069037|Christine|Garcia|F|9030 Gonzales Plains|Bolingbrook|IL|60440|41.6976|-88.0873|73374|Engineer, water|2005-07-01|952427834357|young_adults_female_urban.json
144-65-4740|4995342836449|Amy|Fry|F|687 Teresa Row|Bainbridge Island|WA|98110|47.6478|-122.538|23025|Museum/gallery curator|1996-03-22|578900622716|adults_2550_female_urban.json
427-53-2445|4287334270866882637|David|Rivera|M|5183 Joseph Spring|Clarks Summit|PA|18411|41.4878|-75.7057|21985|Trade union research officer|1975-04-21|45539203444|adults_50up_male_urban.json
193-98-9627|3573540331739363|Thomas|Arnold|M|7854 Ward Parks Suite 175|Altoona|IA|50009|41.6475|-93.4724|16136|Engineer, electronics|1957-10-06|345189549205|adults_50up_male_urban.json
577-29-2391|578996423534|James|Whitaker|M|547 Murray Street Suite 228|Winnetka|IL|60093|42.1054|-87.7535|19570|Records manager|1996-10-14|596525278420|adults_2550_male_urban.json
061-68-0555|5206231203875093|Marcia|Peck|F|700 Smith Pines Suite 840|Raleigh|NC|27609|35.848|-78.6317|489514|Retail buyer|2003-10-21|767996662339|young_adults_female_urban.json
826-23-1754|2623398454615676|Krystal|Branch|F|1016 Bennett Mountains|Augusta|GA|30909|33.4717|-82.0834|202193|Banker|1981-07-25|11324746755|adults_2550_female_urban.json
085-64-7110|4918033974014890|Matthew|White|M|39261 Martin Garden Suite 856|Houston|TX|77023|29.7242|-95.3178|2906700|Counselling psychologist|1982-04-25|797529515996|adults_2550_male_urban.json
764-45-0880|2331599965047738|Heather|Pugh|F|96194 Jennifer Corner Suite 262|Harlingen|TX|78552|26.1831|-97.7468|87263|Neurosurgeon|1969-01-16|396497113885|adults_50up_female_urban.json
006-40-7287|371212678886104|Brandon|Spencer|M|0466 Jenny Points Apt. 982|Collierville|TN|38017|35.0551|-89.6767|48642|Museum/gallery conservator|1960-10-11|151051859836|adults_50up_male_urban.json
275-64-2391|2227464715437993|Christina|Rodriguez|F|65965 Cook Via Apt. 459|Birmingham|AL|35214|33.5554|-86.887|493806|Engineer, control and instrumentation|1998-01-03|345654714857|adults_2550_female_urban.json
408-41-4776|3593564651939821|Melanie|Pierce|F|374 Lori Underpass Suite 724|Saint Louis|MO|63128|38.4915|-90.3772|927396|Financial controller|2002-08-17|722639765311|young_adults_female_urban.json
434-49-1212|38968868058912|Ashley|Wright|F|90965 Rodriguez Courts Suite 388|Harrisburg|PA|17112|40.3352|-76.7914|165527|Surveyor, insurance|1957-01-07|758407551188|adults_50up_female_urban.json
457-48-6409|30250714611253|Emily|Gibson|F|757 Samuel Square|Ames|IA|50010|42.0379|-93.6003|62905|Production manager|1965-12-27|74384149802|adults_50up_female_urban.json
830-91-1886|581238282585|Jessica|Murray|F|226 Johnson Ridges Apt. 796|Las Vegas|NV|89131|36.2956|-115.2419|1417793|Neurosurgeon|1973-10-28|773113226056|adults_50up_female_urban.json
286-97-1026|3582553714785969|Lisa|Matthews|F|7924 Emily Island Apt. 341|Guin|AL|35563|33.9676|-87.9024|4340|Education officer, museum|1978-08-06|761812548743|adults_2550_female_urban.json
398-54-9772|4627828274225795|Anthony|Howard|M|2368 Ortiz Overpass|Annandale|VA|22003|38.8307|-77.2142|55990|Pathologist|1980-09-07|926468006901|adults_2550_male_urban.json
172-11-9264|639034043849|Christopher|Ellis|M|819 Joseph Plains Suite 807|Cincinnati|OH|45227|39.1539|-84.3854|795220|Sports coach|1979-07-26|113495175185|adults_2550_male_urban.json
670-97-4056|4745171339596292335|Robert|Hudson|M|825 Roberts Grove Apt. 260|Elizabeth City|NC|27909|36.2951|-76.2445|40699|Health and safety inspector|1968-03-06|720983479468|adults_50up_male_urban.json
887-17-4091|4367294667116840|Michael|Wiley|M|5901 Reid Square Suite 186|Worth|IL|60482|41.6895|-87.7863|11063|Engineering geologist|1982-04-22|472309515869|adults_2550_male_urban.json
507-35-5290|4892975001701277068|Dale|Barker|M|424 Diamond Glen|Montgomery|AL|36108|32.3417|-86.3529|214703|Charity fundraiser|1960-06-29|731741497149|adults_50up_male_urban.json
170-07-6494|4361103712938700|Aimee|Cooper|F|2713 Davis Valley|Phoenix|AZ|85007|33.4523|-112.0893|1312922|Civil engineer, consulting|1988-07-21|344040630909|adults_2550_female_urban.json
307-18-6271|4189092753269739|Brandon|Garcia|M|656 Moody Gateway|Scranton|PA|18505|41.3914|-75.6657|95251|Health and safety inspector|1987-07-30|92962937500|adults_2550_male_urban.json
616-77-9955|4438983640376137917|Joseph|Levine|M|2696 Payne Extensions Suite 109|Columbus|OH|43209|39.9539|-82.9301|783285|Broadcast journalist|2004-06-19|287822051149|young_adults_male_urban.json
062-51-8301|4661889241418328564|Kevin|Hines|M|6303 Sandy Crescent|Clayton|NC|27520|35.6348|-78.451|54573|Professor Emeritus|1962-08-15|668349725580|adults_50up_male_urban.json
683-95-2878|5120275884252414|Patricia|Johnson|F|8149 Tyler Pass Suite 079|Lerna|IL|62440|39.3958|-88.253|1316|Dietitian|1979-06-07|173377898839|adults_2550_female_rural.json
106-74-1890|4003075622084|Robert|Klein|M|53654 Ashley Crest Apt. 238|Portage|MI|49002|42.1938|-85.5639|47338|Armed forces training and education officer|1992-08-25|442184404040|adults_2550_male_urban.json
477-37-5091|348705349493754|Leslie|Snyder|F|832 Sarah Burg|Pendleton|OR|97801|45.6605|-118.7831|21521|Exhibitions officer, museum/gallery|1976-10-18|380283040969|adults_2550_female_urban.json
711-02-5489|639064138360|Johnathan|Brown|M|410 Phyllis Pike|Eagle Point|OR|97524|42.4935|-122.8088|14459|Passenger transport manager|1977-07-27|986557625325|adults_2550_male_urban.json
766-11-9516|2626199062344569|Mercedes|Moss|F|4313 Kimberly Prairie Apt. 212|Sayre|PA|18840|41.9842|-76.5218|10731|Production assistant, television|1954-09-15|345599075156|adults_50up_female_urban.json
549-46-3402|30474112490355|Brittany|Dawson|F|8044 Anthony Lodge Suite 883|Buford|GA|30519|34.0797|-83.9308|85023|Chief Marketing Officer|1958-08-05|113653610350|adults_50up_female_urban.json
144-16-0196|639032365194|Laurie|Lowery|F|13721 Martinez Mountain|Tallahassee|FL|32304|30.4478|-84.3211|245317|Arts administrator|1997-12-12|474911216420|adults_2550_female_urban.json
405-64-0484|6525324472099933|Matthew|Porter|M|14626 Dawn Union Apt. 806|Hollywood|FL|33027|25.9974|-80.3248|420284|Mechanical engineer|1939-05-30|599060683120|adults_50up_male_urban.json
353-73-8232|374205930407856|Pamela|Key|F|33480 Barbara Union|Bronx|NY|10468|40.8662|-73.9003|1382480|Network engineer|1993-05-12|192608757154|adults_2550_female_urban.json
607-41-5879|3559929378427016|Anthony|Guzman|M|705 Lindsay Junctions|Plano|TX|75094|33.0148|-96.6189|278067|Editor, film/video|2000-08-03|884414429088|adults_2550_male_urban.json
332-08-0360|4185156915452261|Ricky|Yu|M|89539 Nicholas Street Suite 220|San Bruno|CA|94066|37.6247|-122.429|41130|Teacher, primary school|2004-12-31|933689818542|young_adults_male_urban.json
582-05-2984|3593917251355212|Samantha|Santiago|F|0433 Michael Turnpike Apt. 006|Sarasota|FL|34241|27.2822|-82.4181|232625|Primary school teacher|1984-11-28|462707927107|adults_2550_female_urban.json
424-64-6205|371793271040546|Tiffany|Jones|F|2181 Wheeler Ridges|Kansas City|MO|64124|39.1068|-94.5394|545147|Radiation protection practitioner|1932-04-02|33090595507|adults_50up_female_urban.json
670-22-9951|6011015336884442|Cynthia|Williams|F|05061 Colon Road Suite 310|Hicksville|NY|11801|40.7623|-73.523|39553|Engineer, maintenance|1941-03-29|700813387933|adults_50up_female_urban.json
084-61-1893|4774186256527047740|Darrell|Adams|M|11586 Angela Ville|Plymouth|MA|02360|41.9104|-70.642|56271|Naval architect|1981-08-09|574745673999|adults_2550_male_urban.json
549-88-7780|3574160898992179|Carrie|Joyce|F|20616 Wendy Road|O Fallon|MO|63368|38.7513|-90.7296|89535|Data scientist|1974-11-28|656417496092|adults_50up_female_urban.json
745-09-1426|6585487099861626|Charles|Matthews|M|91485 Baker Shoal|Kailua Kona|HI|96740|19.6531|-155.9798|33321|Radiographer, diagnostic|1976-09-20|668176751968|adults_2550_male_urban.json
177-36-6603|4065307450544476|Shannon|Cohen|F|47546 Jacob Forest|Richland|PA|17087|40.3806|-76.2654|2767|Optometrist|2000-04-29|535758278399|adults_2550_female_urban.json
889-48-0921|213114862890235|Sheri|Gonzalez|F|07053 Richardson Mountain|Ankeny|IA|50021|41.7212|-93.5682|49581|Risk analyst|1967-10-16|697489556056|adults_50up_female_urban.json
698-04-3964|379727985524140|Alyssa|Williams|F|33468 Michelle Trafficway|Butler|PA|16001|40.8859|-79.934|56248|Acupuncturist|1964-01-20|709237888521|adults_50up_female_urban.json
821-02-3667|4466574374896910852|Justin|Wheeler|M|1715 Davidson Wall Suite 443|Forsyth|MT|59327|46.2819|-106.6991|2945|Dealer|1990-07-06|839740381755|adults_2550_male_urban.json
059-77-6621|4207446660993534|Michael|Little|M|584 Mary Wells Apt. 417|Dallas|TX|75214|32.8248|-96.7498|1263321|Conservation officer, historic buildings|1997-04-06|286650063966|adults_2550_male_urban.json
573-98-3000|4135346554947173|Amy|Walters|F|3816 Gutierrez Ways|Fort Smith|AR|72916|35.2502|-94.3703|90141|Dentist|1960-11-24|374522422066|adults_50up_female_urban.json
584-59-2347|341752500743293|Pamela|Burns|F|96666 Reyes Camp|Montezuma|IN|47862|39.7961|-87.3607|1610|Social research officer, government|1948-08-30|804015362037|adults_50up_female_rural.json
015-42-8701|4033542168940|Carol|Colon|F|7898 Hamilton Spur Apt. 575|Wasilla|AK|99654|61.5923|-149.3959|52168|Emergency planning/management officer|1999-09-21|445869180665|adults_2550_female_urban.json
230-94-2150|4982150648900|Linda|Williams|F|001 Wallace Crossing|Windsor|CO|80550|40.4837|-104.8994|20675|Sports development officer|1968-07-01|520776545528|adults_50up_female_urban.json
211-89-0153|4184992618914117392|Curtis|Baker|M|6420 Lozano Spurs|Surprise|AZ|85374|33.63|-112.3314|119941|Quarry manager|1964-04-16|259117969489|adults_50up_male_urban.json
688-12-1810|3521811437447018|Robin|Sawyer|F|5611 Alec Dam Apt. 557|Virginia Beach|VA|23464|36.7978|-76.1759|437994|Wellsite geologist|1958-01-27|963225054391|adults_50up_female_urban.json
382-44-2997|2296746762120217|Jennifer|Garza|F|96590 Timothy Oval Apt. 670|Merced|CA|95341|37.2308|-120.5144|97703|Biomedical scientist|1976-02-07|718383157138|adults_2550_female_urban.json
722-87-8599|3558891637562895|Anthony|Schneider|M|772 Karen Islands|Cannon Falls|MN|55009|44.496|-92.864|8030|Financial adviser|1948-03-09|52734283343|adults_50up_male_urban.json
564-83-6204|6011177971775176|Patrick|Smith|M|0880 Latoya River Suite 883|Hermiston|OR|97838|45.845|-119.2849|25346|Programmer, multimedia|1979-03-17|377743898953|adults_2550_male_urban.json
056-29-7446|375711305548850|Michaela|Williams|F|2614 Jacob Walk|Middlebury|IN|46540|41.6754|-85.7114|11702|Nurse, learning disability|1965-06-20|503437123514|adults_50up_female_urban.json
196-92-5537|2309177982708083|Taylor|Roberson|F|292 Dale Shoals Suite 866|Worcester|MA|01606|42.311|-71.7958|181315|Transport planner|1976-06-26|764143015905|adults_2550_female_urban.json
281-51-5618|4226984858333945226|Kathy|Benson|F|158 Aguilar Shores Suite 846|Roselle|IL|60172|41.9798|-88.0857|24537|Administrator, Civil Service|1978-11-13|118209225199|adults_2550_female_urban.json
149-07-0928|4244204380570|Ashley|Parrish|F|863 Schwartz Causeway|Portsmouth|OH|45662|38.7932|-82.9306|30219|Museum/gallery curator|1964-08-28|456931067925|adults_50up_female_urban.json
702-41-9047|501843973592|Joshua|Morrison|M|7212 Jill Crest|Waltham|MA|02452|42.3943|-71.218|60632|Multimedia programmer|1978-12-05|468325957955|adults_2550_male_urban.json
271-17-2637|3505720259094792|Krista|Jones|F|328 Kristie Estate Suite 886|Kansas City|KS|66105|39.085|-94.6356|150224|Chief Executive Officer|1955-04-10|242018842821|adults_50up_female_urban.json
680-43-5425|373987801573996|David|Williams|M|1648 Johnson Path Suite 887|Warner Robins|GA|31088|32.5934|-83.6416|81138|Radiographer, therapeutic|1991-01-07|322310888655|adults_2550_male_urban.json
198-42-8420|5428801336138619|Paul|Hernandez|M|501 Brian Underpass Suite 819|Rowland Heights|CA|91748|33.9818|-117.8969|45406|Estate agent|1962-05-29|287380499077|adults_50up_male_urban.json
462-81-6627|6506180919015814|Donna|Jennings|F|7660 Moore Forges|Stratford|CT|06614|41.216|-73.1304|51382|Copy|1993-08-15|432704013236|adults_2550_female_urban.json
870-70-4833|4450882100996881|Theresa|Torres|F|68222 Christina Glen Apt. 129|Janesville|WI|53548|42.6854|-89.1287|72323|Audiological scientist|1995-10-05|828290403261|adults_2550_female_urban.json
563-60-9006|2261413975523148|Lisa|Mccullough|F|7594 Ariana Lakes Suite 620|Nahunta|GA|31553|31.1827|-81.9722|5237|Intelligence analyst|2006-04-18|864345740668|young_adults_female_urban.json
758-83-7146|4257775478129142835|Deborah|Mercado|F|108 Lisa Prairie|Bronx|NY|10473|40.8194|-73.8606|1382480|Ophthalmologist|1978-10-09|651843751630|adults_2550_female_urban.json
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Wheaton|IL|60189|41.8397|-88.0887|59488|Systems developer|1975-07-18|622549976924|adults_50up_female_urban.json
150-95-7922|343731453038560|Julie|Gibson|F|51844 Nicholas Lane|Brick|NJ|08724|40.0874|-74.1152|73993|Medical secretary|1953-03-08|719783599768|adults_50up_female_urban.json
080-67-4122|6011865577908270|Carol|Jones|F|22259 Donna Mall Suite 177|Warwick|NY|10990|41.2656|-74.3604|20631|Quality manager|1997-05-29|649445028286|adults_2550_female_urban.json
