ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
755-86-3229|371595148465644|Kristen|Lee|F|299 Sullivan Village Apt. 443|Port Angeles|WA|98362|48.1065|-123.4384|35573|Planning and development surveyor|1974-07-02|639029968283|adults_50up_female_urban.json
330-60-7239|30387214895133|Michael|Walker|M|00379 Stanley Roads|Saint Louis|MO|63123|38.5476|-90.3241|927396|Teaching laboratory technician|1960-10-23|786814108140|adults_50up_male_urban.json
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|Pittsburgh|PA|15237|40.5488|-80.0474|687276|Health and safety inspector|1966-02-22|857987636625|adults_50up_female_urban.json
642-31-4500|30143455812232|James|Hernandez|M|66587 Brown Village|Honaker|VA|24260|37.0395|-82.0246|5734|Petroleum engineer|1976-08-01|993810235531|adults_2550_male_urban.json
713-03-9433|6505466889373460|Karla|Price|F|272 Rebecca Ramp Apt. 162|New Orleans|LA|70115|29.9289|-90.1005|382333|Psychologist, clinical|1988-01-22|52320127777|adults_2550_female_urban.json
336-28-7450|376464170805315|Rachael|Pearson|F|30923 Thomas Crescent|Northwood|OH|43619|41.608|-83.4806|7499|Surveyor, rural practice|1980-10-12|240293786713|adults_2550_female_urban.json
263-99-6044|4241904966319315|Melissa|Turner|F|058 Stanley Cliff|Los Angeles|CA|90001|33.9731|-118.2479|2383912|Risk manager|1998-02-13|376443331852|adults_2550_female_urban.json
431-63-1730|6572628498776940|Frank|Sanchez|M|7379 Rogers Park|Bartlesville|OK|74006|36.7366|-95.9251|39999|Journalist, broadcasting|1977-04-30|533356940935|adults_2550_male_urban.json
817-34-5577|4808313678377701435|Jared|Sanchez|M|8856 Bell Motorway Suite 443|Beaumont|CA|92223|33.9504|-116.9701|43605|Community arts worker|2003-07-11|213551290143|young_adults_male_urban.json
761-69-3034|4749894134350|Christopher|Smith|M|0084 Dana Terrace|Fredericksburg|VA|22407|38.2688|-77.5476|156008|Recycling officer|1958-03-22|958218317578|adults_50up_male_urban.json
292-61-7844|30520471167198|Lori|Brown|F|413 Angela Mall|Florida|NY|10921|41.3295|-74.3528|4135|Trading standards officer|1989-04-26|870143739098|adults_2550_female_urban.json
795-67-6233|38496499091334|Deborah|Miller|F|81206 Norris Mountains|Dumas|AR|71639|33.8921|-91.4861|6579|Horticulturist, amenity|2003-02-11|253543257595|young_adults_female_urban.json
290-90-7439|2244936183242103|Christopher|Parker|M|1746 Mason Park Suite 190|Victoria|TX|77904|28.8675|-96.999|80531|Podiatrist|1947-07-05|355342117469|adults_50up_male_urban.json
027-12-3751|4490278742967178|Hannah|Cook|F|56746 Shawn Island|Lebanon|ME|04027|43.4597|-70.9152|6031|Forensic psychologist|1944-09-24|125942501921|adults_50up_female_urban.json
414-66-0019|4603859770348243|Jeffrey|Wolfe|M|93248 Andrea Course|Monroeville|PA|15146|40.429|-79.7623|28323|Equality and diversity officer|1980-04-12|927679680601|adults_2550_male_urban.json
473-16-2523|30484677378267|Connor|Greene|M|46584 Justin Hills|Phoenix|AZ|85022|33.6315|-112.052|1312922|Theatre manager|1979-10-16|539705335953|adults_2550_male_urban.json
458-69-7936|378867533963605|Emily|Kennedy|F|2702 Kane Well Suite 187|Lawrence|KS|66044|39.0289|-95.2086|94117|Administrator, local government|1964-07-19|157721695267|adults_50up_female_urban.json
671-20-1226|30459615865781|Andrew|Jones|M|16117 Heather Burgs Apt. 504|Winter Haven|FL|33880|27.9873|-81.7625|95906|Mechanical engineer|1979-09-07|474056332778|adults_2550_male_urban.json
544-53-9273|4221969379237473|David|Smith|M|8217 Huerta Hills Suite 474|Denver|CO|80210|39.679|-104.9631|990452|Engineer, civil (contracting)|1985-10-17|425199071794|adults_2550_male_urban.json
110-31-6249|3594406409097438|Lawrence|Gomez|M|421 Kyle Mill|Scranton|PA|18510|41.408|-75.6484|95251|Analytical chemist|1930-03-27|401921209060|adults_50up_male_urban.json
093-38-5353|3523285884247452|Robert|Mcdonald|M|36851 Smith Plain|Richmond|KY|40475|37.7546|-84.2955|55803|Community pharmacist|1990-01-31|405680216951|adults_2550_male_urban.json
689-34-9578|6513709859317466|Audrey|Williams|F|7113 Paul Land|Edison|GA|39846|31.5607|-84.7381|2440|Sound technician, broadcasting/film/video|1930-07-13|646045230097|adults_50up_female_rural.json
159-54-1623|36405377351589|Stephanie|Newman|F|4317 Elizabeth Row|Lynnwood|WA|98087|47.862|-122.2532|92865|Therapist, speech and language|1950-05-05|25645650502|adults_50up_female_urban.json
342-32-2064|3518393352904229|Kimberly|Lindsey|F|020 Tyler Freeway|New Orleans|LA|70115|29.9289|-90.1005|382333|Theatre stage manager|1982-04-26|18570457049|adults_2550_female_urban.json
054-17-6898|213117758917830|Theresa|Williams|F|0076 Parks Overpass Suite 115|Atlanta|GA|30342|33.8842|-84.3761|900273|Translator|1959-07-16|69356565695|adults_50up_female_urban.json
640-82-9591|180069847896112|Samuel|Curtis|M|7365 Ross Stream|Athens|AL|35613|34.8317|-86.8867|53253|Chief of Staff|1982-04-16|469493820213|adults_2550_male_urban.json
262-48-2501|4111161528098856|Michael|Jenkins|M|049 Bell Ports Apt. 273|Philadelphia|PA|19115|40.0903|-75.041|1526206|Clinical cytogeneticist|1989-02-22|929216664078|adults_2550_male_urban.json
118-98-4565|3568998094024455|Gregory|White|M|612 Christopher Pines|Columbus Junction|IA|52738|41.2926|-91.3006|3567|Engineer, structural|1964-06-30|461177243339|adults_50up_male_urban.json
162-48-5106|3599102290147672|Lawrence|Perry|M|156 Justin Springs|Bremerton|WA|98310|47.6019|-122.6299|84812|Therapist, horticultural|1981-10-27|577615689420|adults_2550_male_urban.json
047-29-6476|3503432445107627|Carl|Patel|M|851 Hensley Canyon|Fort Lee|NJ|07024|40.8503|-73.9745|35353|Press photographer|1969-05-20|502591667934|adults_50up_male_urban.json
883-41-9434|6564160529751619|David|Chapman|M|4535 Charles Roads|Hutchinson|KS|67501|38.055|-97.9311|50951|Clothing/textile technologist|2000-01-02|560624678846|adults_2550_male_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Orange Park|FL|32065|30.1382|-81.7742|98816|Management consultant|1971-01-19|79488406665|adults_50up_female_urban.json
463-05-0933|371199867980790|Matthew|Morris|M|207 Lisa Villages Suite 182|Sierra Vista|AZ|85635|31.5365|-110.2666|50006|Archaeologist|1964-02-02|778453131767|adults_50up_male_urban.json
450-68-8565|3555466590515181|Meghan|Mitchell|F|1925 Ponce Square|Hudson|NH|03051|42.769|-71.4121|24480|Nurse, children's|1979-05-29|653388872137|adults_2550_female_urban.json
087-40-9158|6528168505423579|Cheryl|Cooke|F|41888 Ebony Wells|Camarillo|CA|93010|34.2313|-119.0464|77518|Waste management officer|1948-06-21|653397880348|adults_50up_female_urban.json
167-24-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Brooksville|FL|34613|28.5466|-82.5213|64191|Associate Professor|1954-10-25|531034820387|adults_50up_male_urban.json
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Houston|TX|77034|29.6364|-95.2216|2906700|Historic buildings inspector/conservation officer|1968-10-11|914473253283|adults_50up_female_urban.json
852-18-7686|30010432898610|Ricardo|Young|M|36971 Mary Parks|Weatogue|CT|06089|41.8372|-72.8253|2813|Therapist, speech and language|1964-04-23|19482202674|adults_50up_male_urban.json
589-31-2353|4095396218518888801|James|Harrison|M|4051 Allen Shoals Apt. 952|Palmyra|PA|17078|40.3011|-76.5886|20218|Armed forces operational officer|1963-06-19|598513567016|adults_50up_male_urban.json
659-23-7613|3522170430305486|Jennifer|Ochoa|F|0345 Michelle Isle Suite 156|Guide Rock|NE|68942|40.0812|-98.3391|490|Office manager|1989-10-27|484228819436|adults_2550_female_rural.json
396-44-3061|38584161692842|Erica|Miller|F|7962 Bell Canyon Suite 964|Dwight|IL|60420|41.0887|-88.4159|6102|Barista|1972-04-24|734761706971|adults_50up_female_urban.json
373-66-2622|503897021351|Jack|Herring|M|275 Wallace Club|Madison Lake|MN|56063|44.2221|-93.8289|2724|Teacher, secondary school|1976-08-11|580411980930|adults_2550_male_urban.json
322-84-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|Bakersfield|CA|93308|35.4244|-119.0433|520197|Special effects artist|1990-07-24|980499639968|adults_2550_male_urban.json
162-92-2853|341323705895781|Beverly|Henson|F|6786 Morrow Cliffs|Medina|OH|44256|41.1404|-81.8584|62039|Comptroller|1995-10-25|352068690122|adults_2550_female_urban.json
461-60-8477|348922680182421|Candice|Donovan|F|8414 Cynthia Plaza|North Waterboro|ME|04061|43.64|-70.7298|3369|Haematologist|2006-09-26|687732369667|young_adults_female_urban.json
547-12-8235|4992299590010948|Matthew|Wang|M|078 May Hollow Suite 364|Alton|IL|62002|38.9087|-90.1568|32704|Professor Emeritus|1998-11-22|756227660834|adults_2550_male_urban.json
451-54-7934|30359255562583|Justin|Flores|M|47321 Kelly Lights Suite 325|Holmen|WI|54636|43.9761|-91.2497|13737|Technical brewer|1985-07-24|346694606719|adults_2550_male_urban.json
164-64-8434|38470168733955|Anthony|Campbell|M|8016 Nicole Stream Suite 650|Floresville|TX|78114|29.1693|-98.1936|20103|Oncologist|2006-12-11|622989978517|young_adults_male_urban.json
372-71-4729|2298784991216553|Kristin|Diaz|F|98680 Benjamin Station|Van Nuys|CA|91405|34.2001|-118.4456|166616|Lecturer, further education|2005-08-22|523144049876|young_adults_female_urban.json
153-78-8447|4952694958887945|Karen|Smith|F|169 Robles Stream Apt. 974|New Kent|VA|23124|37.553|-77.0742|3185|Technical sales engineer|1972-07-13|251589024007|adults_50up_female_urban.json
598-62-2794|180023091307565|Christian|Vaughn|M|970 April Points Suite 786|East Stroudsburg|PA|18301|41.0367|-75.1735|45923|Interior and spatial designer|1931-10-19|193087493940|adults_50up_male_urban.json
546-44-8951|379733484344378|Emily|Bailey|F|1986 Cardenas Trail Apt. 404|Colona|IL|61241|41.4885|-90.321|7124|Careers information officer|1962-12-23|719159529356|adults_50up_female_urban.json
491-28-3311|180084219933088|Courtney|Hall|F|5712 Tamara Estate|Richmond|IN|47374|39.8324|-84.8936|46875|Optometrist|1965-09-06|965855026307|adults_50up_female_urban.json
667-26-4707|370193802620679|Cody|Curry|M|04991 Mitchell Row Suite 287|Hialeah|FL|33014|25.8963|-80.3063|347944|Government social research officer|1934-05-24|889886348922|adults_50up_male_urban.json
167-94-7519|4205493296685169|Maureen|Lopez|F|5304 Young Terrace|Shelbyville|TN|37160|35.4863|-86.4624|32744|Geologist, engineering|1992-12-08|364874801234|adults_2550_female_urban.json
741-74-0188|4301742684145933273|Christian|Adkins|M|8783 Erin Ranch Apt. 878|Lucasville|OH|45648|38.8938|-82.994|13372|Medical illustrator|1963-11-13|122682170508|adults_50up_male_urban.json
561-65-3313|3525871397187075|Bonnie|Perry|F|740 Scott Alley|Aurora|CO|80013|39.6575|-104.7846|389246|Engineering geologist|1930-08-10|79793239299|adults_50up_female_urban.json
353-90-1045|213117046226564|Joan|Stark|F|1825 Gregory Plain Suite 823|Port Monmouth|NJ|07758|40.4289|-74.1083|4967|Accountant, chartered certified|1952-03-07|24722602367|adults_50up_female_urban.json
475-87-8921|6533752431069037|Christine|Garcia|F|9030 Gonzales Plains|Niles|MI|49120|41.8202|-86.2368|37122|Engineer, water|1943-07-01|952427834357|adults_50up_female_urban.json
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|Paradise|CA|95969|39.7555|-121.6069|27549|Museum/gallery curator|1966-03-22|578900622716|adults_50up_male_urban.json
427-53-2445|4287334270866882637|Dawn|Rivera|F|5183 Joseph Spring|Bethany|WV|26032|40.2107|-80.5503|1243|Trade union research officer|1951-04-21|45539203444|adults_50up_female_rural.json
193-98-9627|3573540331739363|Suzanne|Arnold|F|7854 Ward Parks Suite 175|Water View|VA|23180|37.7105|-76.6227|441|Engineer, electronics|1961-10-06|345189549205|adults_50up_female_rural.json
577-29-2391|578996423534|Jamie|Whitaker|F|547 Murray Street Suite 228|Albuquerque|NM|87111|35.1347|-106.5222|641349|Records manager|1990-10-14|596525278420|adults_2550_female_urban.json
061-68-0555|5206231203875093|Mark|Peck|M|700 Smith Pines Suite 840|Beaufort|SC|29902|32.4047|-80.6531|40257|Retail buyer|1984-10-21|767996662339|adults_2550_male_urban.json
826-23-1754|2623398454615676|Krystal|Branch|F|1016 Bennett Mountains|Brooklyn|NY|11219|40.6336|-73.996|2504700|Banker|1975-07-25|11324746755|adults_50up_female_urban.json
085-64-7110|4918033974014890|Mary|White|F|39261 Martin Garden Suite 856|Westland|MI|48186|42.289|-83.3686|84124|Counselling psychologist|1990-04-25|797529515996|adults_2550_female_urban.json
764-45-0880|2331599965047738|Henry|Pugh|M|96194 Jennifer Corner Suite 262|Gardena|CA|90248|33.8766|-118.2835|84103|Neurosurgeon|1958-01-16|396497113885|adults_50up_male_urban.json
006-40-7287|371212678886104|Ann|Spencer|F|0466 Jenny Points Apt. 982|Nokomis|FL|34275|27.1384|-82.4518|16245|Museum/gallery conservator|1971-10-11|151051859836|adults_50up_female_urban.json
275-64-2391|2227464715437993|Craig|Rodriguez|M|65965 Cook Via Apt. 459|Reno|NV|89508|39.6781|-119.9383|276896|Engineer, control and instrumentation|2003-01-03|345654714857|young_adults_male_urban.json
408-41-4776|3593564651939821|Melanie|Pierce|F|374 Lori Underpass Suite 724|Louisville|KY|40241|38.3045|-85.5815|736284|Financial controller|1966-08-17|722639765311|adults_50up_female_urban.json
434-49-1212|38968868058912|Ashley|Wright|F|90965 Rodriguez Courts Suite 388|Bedford|MA|01730|42.4843|-71.2768|13221|Surveyor, insurance|1999-01-07|758407551188|adults_2550_female_urban.json
457-48-6409|30250714611253|Eric|Gibson|M|757 Samuel Square|Winston Salem|NC|27127|36.0425|-80.2609|250944|Production manager|2003-12-27|74384149802|young_adults_male_urban.json
830-91-1886|581238282585|Jeffery|Murray|M|226 Johnson Ridges Apt. 796|Hyrum|UT|84319|41.6311|-111.849|7905|Neurosurgeon|1979-10-28|773113226056|adults_2550_male_urban.json
286-97-1026|3582553714785969|Logan|Matthews|M|7924 Emily Island Apt. 341|Urbana|IL|61801|40.1095|-88.2036|49989|Education officer, museum|1950-08-06|761812548743|adults_50up_male_urban.json
398-54-9772|4627828274225795|Amy|Howard|F|2368 Ortiz Overpass|Rancho Cucamonga|CA|91739|34.1705|-117.5182|101719|Pathologist|1992-09-07|926468006901|adults_2550_female_urban.json
172-11-9264|639034043849|Christopher|Ellis|M|819 Joseph Plains Suite 807|Sumrall|MS|39482|31.36|-89.5777|9746|Sports coach|1967-07-26|113495175185|adults_50up_male_urban.json
670-97-4056|4745171339596292335|Robert|Hudson|M|825 Roberts Grove Apt. 260|Glen Ellyn|IL|60137|41.8661|-88.0648|37805|Health and safety inspector|1970-03-06|720983479468|adults_50up_male_urban.json
887-17-4091|4367294667116840|Melissa|Wiley|F|5901 Reid Square Suite 186|Covington|LA|70435|30.5661|-90.1098|47736|Engineering geologist|1965-04-22|472309515869|adults_50up_female_urban.json
507-35-5290|4892975001701277068|Dale|Barker|M|424 Diamond Glen|Compton|CA|90220|33.8748|-118.2402|134901|Charity fundraiser|1982-06-29|731741497149|adults_2550_male_urban.json
170-07-6494|4361103712938700|Aimee|Cooper|F|2713 Davis Valley|Stevenson Ranch|CA|91381|34.3775|-118.6131|20158|Civil engineer, consulting|2005-07-21|344040630909|young_adults_female_urban.json
307-18-6271|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Pompano Beach|FL|33067|26.3033|-80.2415|425636|Health and safety inspector|1953-07-30|92962937500|adults_50up_female_urban.json
616-77-9955|4438983640376137917|Joseph|Levine|M|2696 Payne Extensions Suite 109|Alpharetta|GA|30004|34.1124|-84.302|165556|Broadcast journalist|1984-06-19|287822051149|adults_2550_male_urban.json
062-51-8301|4661889241418328564|Kevin|Hines|M|6303 Sandy Crescent|Rocky Mount|NC|27804|35.9904|-77.8468|72025|Professor Emeritus|1975-08-15|668349725580|adults_50up_male_urban.json
683-95-2878|5120275884252414|Raymond|Johnson|M|8149 Tyler Pass Suite 079|Coachella|CA|92236|33.675|-116.1772|41083|Dietitian|1990-06-07|173377898839|adults_2550_male_urban.json
106-74-1890|4003075622084|Regina|Klein|F|53654 Ashley Crest Apt. 238|Cherry Hill|NJ|08002|39.9308|-75.0175|71054|Armed forces training and education officer|1952-08-25|442184404040|adults_50up_female_urban.json
477-37-5091|348705349493754|Kevin|Snyder|M|832 Sarah Burg|Alexandria|VA|22307|38.7714|-77.0657|321490|Exhibitions officer, museum/gallery|1948-10-18|380283040969|adults_50up_male_urban.json
711-02-5489|639064138360|Johnathan|Brown|M|410 Phyllis Pike|Plymouth|MA|02360|41.9104|-70.642|56271|Passenger transport manager|1972-07-27|986557625325|adults_50up_male_urban.json
766-11-9516|2626199062344569|Mercedes|Moss|F|4313 Kimberly Prairie Apt. 212|Pelham|NH|03076|42.7288|-71.3046|12897|Production assistant, television|1985-09-15|345599075156|adults_2550_female_urban.json
549-46-3402|30474112490355|Charles|Dawson|M|8044 Anthony Lodge Suite 883|Salem|OR|97301|44.949|-123.004|249657|Chief Marketing Officer|1949-08-05|113653610350|adults_50up_male_urban.json
144-16-0196|639032365194|Laurie|Lowery|F|13721 Martinez Mountain|Sandia Park|NM|87047|35.1683|-106.3238|4894|Arts administrator|1985-12-12|474911216420|adults_2550_female_urban.json
405-64-0484|6525324472099933|Maria|Porter|F|14626 Dawn Union Apt. 806|New Laguna|NM|87038|34.963|-108.0565|616|Mechanical engineer|1972-05-30|599060683120|adults_50up_female_rural.json
353-73-8232|374205930407856|Randall|Key|M|33480 Barbara Union|Westerville|OH|43081|40.1146|-82.9105|85937|Network engineer|1996-05-12|192608757154|adults_2550_male_urban.json
607-41-5879|3559929378427016|Amy|Guzman|F|705 Lindsay Junctions|Bronx|NY|10466|40.8904|-73.8503|1382480|Editor, film/video|2010-08-03|884414429088|young_adults_female_urban.json
332-08-0360|4185156915452261|Rebecca|Yu|F|89539 Nicholas Street Suite 220|Somersworth|NH|03878|43.2525|-70.8756|11824|Teacher, primary school|1963-12-31|933689818542|adults_50up_female_urban.json
582-05-2984|3593917251355212|Samantha|Santiago|F|0433 Michael Turnpike Apt. 006|Wills Point|TX|75169|32.7283|-96.0079|14644|Primary school teacher|1975-11-28|462707927107|adults_50up_female_urban.json
424-64-6205|371793271040546|Trevor|Jones|M|2181 Wheeler Ridges|Pomona|CA|91766|34.0418|-117.7569|154204|Radiation protection practitioner|1989-04-02|33090595507|adults_2550_male_urban.json
670-22-9951|6011015336884442|David|Williams|M|05061 Colon Road Suite 310|Lubbock|TX|79416|33.5924|-101.9367|254282|Engineer, maintenance|1960-03-29|700813387933|adults_50up_male_urban.json
084-61-1893|4774186256527047740|Darrell|Adams|M|11586 Angela Ville|Lehi|UT|84043|40.3958|-111.8506|49030|Naval architect|1957-08-09|574745673999|adults_50up_male_urban.json
549-88-7780|3574160898992179|Carrie|Joyce|F|20616 Wendy Road|Minneapolis|MN|55403|44.9673|-93.2828|1022298|Data scientist|1985-11-28|656417496092|adults_2550_female_urban.json
745-09-1426|6585487099861626|Brittany|Matthews|F|91485 Baker Shoal|Lincoln|RI|02865|41.9089|-71.4348|16951|Radiographer, diagnostic|1949-09-20|668176751968|adults_50up_female_urban.json
177-36-6603|4065307450544476|Scott|Cohen|M|47546 Jacob Forest|Garland|TX|75043|32.8565|-96.5999|226892|Optometrist|1953-04-29|535758278399|adults_50up_male_urban.json
889-48-0921|213114862890235|Shaun|Gonzalez|M|07053 Richardson Mountain|Austin|TX|78749|30.2166|-97.8508|940359|Risk analyst|2006-10-16|697489556056|young_adults_male_urban.json
698-04-3964|379727985524140|Alexander|Williams|M|33468 Michelle Trafficway|Painesville|OH|44077|41.7079|-81.199|56491|Acupuncturist|1996-01-20|709237888521|adults_2550_male_urban.json
821-02-3667|4466574374896910852|Justin|Wheeler|M|1715 Davidson Wall Suite 443|Wyoming|PA|18644|41.3197|-75.8541|7546|Dealer|1969-07-06|839740381755|adults_50up_male_urban.json
059-77-6621|4207446660993534|Michael|Little|M|584 Mary Wells Apt. 417|Fort Lauderdale|FL|33312|26.0968|-80.181|711693|Conservation officer, historic buildings|1988-04-06|286650063966|adults_2550_male_urban.json
573-98-3000|4135346554947173|Anthony|Walters|M|3816 Gutierrez Ways|Laguna Niguel|CA|92677|33.5145|-117.7084|63297|Dentist|1941-11-24|374522422066|adults_50up_male_urban.json
584-59-2347|341752500743293|Phillip|Burns|M|96666 Reyes Camp|Fort Worth|TX|76105|32.7233|-97.269|813980|Social research officer, government|1992-08-30|804015362037|adults_2550_male_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Bernville|PA|19506|40.4551|-76.1247|7356|Emergency planning/management officer|1996-09-21|445869180665|adults_2550_male_urban.json
230-94-2150|4982150648900|Kirk|Williams|M|001 Wallace Crossing|Union City|CA|94587|37.5895|-122.0497|69516|Sports development officer|1981-07-01|520776545528|adults_2550_male_urban.json
211-89-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Kissimmee|FL|34741|28.3051|-81.4242|228365|Quarry manager|1933-04-16|259117969489|adults_50up_female_urban.json
688-12-1810|3521811437447018|Robin|Sawyer|F|5611 Alec Dam Apt. 557|Grand Junction|CO|81507|39.0158|-108.6129|103017|Wellsite geologist|1999-01-27|963225054391|adults_2550_female_urban.json
382-44-2997|2296746762120217|Jennifer|Garza|F|96590 Timothy Oval Apt. 670|Belgrade|MT|59714|45.7801|-111.1439|18182|Biomedical scientist|1974-02-07|718383157138|adults_50up_female_urban.json
722-87-8599|3558891637562895|Anthony|Schneider|M|772 Karen Islands|Mahanoy City|PA|17948|40.8123|-76.1396|5029|Financial adviser|1998-03-09|52734283343|adults_2550_male_urban.json
564-83-6204|6011177971775176|Patrick|Smith|M|0880 Latoya River Suite 883|Pebble Beach|CA|93953|36.5907|-121.942|4509|Programmer, multimedia|1979-03-17|377743898953|adults_2550_male_urban.json
056-29-7446|375711305548850|Michael|Williams|M|2614 Jacob Walk|Goffstown|NH|03045|43.0201|-71.5697|13560|Nurse, learning disability|1999-06-20|503437123514|adults_2550_male_urban.json
196-92-5537|2309177982708083|Timothy|Roberson|M|292 Dale Shoals Suite 866|Carson City|NV|89703|39.1704|-119.7782|61818|Transport planner|1982-06-26|764143015905|adults_2550_male_urban.json
281-51-5618|4226984858333945226|Kathy|Benson|F|158 Aguilar Shores Suite 846|Fairfax|VA|22030|38.8458|-77.3242|151929|Administrator, Civil Service|1987-11-13|118209225199|adults_2550_female_urban.json
149-07-0928|4244204380570|Ashley|Parrish|F|863 Schwartz Causeway|Merrimac|WI|53561|43.3855|-89.6323|1618|Museum/gallery curator|1968-08-28|456931067925|adults_50up_female_rural.json
702-41-9047|501843973592|Kimberly|Morrison|F|7212 Jill Crest|Lumberton|MS|39455|31.0534|-89.4543|9721|Multimedia programmer|1972-12-05|468325957955|adults_50up_female_urban.json
271-17-2637|3505720259094792|Krista|Jones|F|328 Kristie Estate Suite 886|San Mateo|CA|94401|37.5735|-122.3225|131801|Chief Executive Officer|1968-04-10|242018842821|adults_50up_female_urban.json
680-43-5425|373987801573996|David|Williams|M|1648 Johnson Path Suite 887|Edcouch|TX|78538|26.3328|-97.9622|10657|Radiographer, therapeutic|1983-01-07|322310888655|adults_2550_male_urban.json
198-42-8420|5428801336138619|Nicole|Hernandez|F|501 Brian Underpass Suite 819|Menahga|MN|56464|46.7572|-95.0714|4336|Estate agent|1991-05-29|287380499077|adults_2550_female_urban.json
462-81-6627|6506180919015814|Donna|Jennings|F|7660 Moore Forges|North Little Rock|AR|72117|34.7658|-92.1524|69370|Copy|1953-08-15|432704013236|adults_50up_female_urban.json
870-70-4833|4450882100996881|Theresa|Torres|F|68222 Christina Glen Apt. 129|Boston|MA|02115|42.3427|-71.0922|386505|Audiological scientist|1936-10-05|828290403261|adults_50up_female_urban.json
563-60-9006|2261413975523148|Lisa|Mccullough|F|7594 Ariana Lakes Suite 620|Florence|KY|41042|38.9941|-84.642|49968|Intelligence analyst|1987-04-18|864345740668|adults_2550_female_urban.json
758-83-7146|4257775478129142835|Deborah|Mercado|F|108 Lisa Prairie|Layton|UT|84040|41.0846|-111.9274|67651|Ophthalmologist|1952-10-09|651843751630|adults_50up_female_urban.json
038-71-4270|180025639427888|Ann|Cox|F|392 Sean Fall|Chuckey|TN|37641|36.2569|-82.6905|8567|Systems developer|1978-07-18|622549976924|adults_2550_female_urban.json
150-95-7922|343731453038560|John|Gibson|M|51844 Nicholas Lane|Baton Rouge|LA|70811|30.5317|-91.1167|378909|Medical secretary|1967-03-08|719783599768|adults_50up_male_urban.json
